AÑO,DEPARTAMENTO,DEPARTAMENTO,SEXO,Total personas,"IC+- b/
Total personas","Cve c/
Total personas",TOTAL Hogares,Hogares IC+- b/,Hogares Cve c/,,TOTAL Equipos de cómputo,Equipos de cómputo IC+-,Equipos de cómputo Cve,Equipos de cómputoProporción,,TOTAL Hogares con internet,Hogares con internetIC+-,Hogares con internet Cve,Hogares con internet Proporción,,Total Uso computador portátil en cualquier lugar,"Total IC+-
Usó computador portátil en cualquier lugar","Cve
Usó computador portátil en cualquier lugar","Proporción 
Usó computador portátil en cualquier lugar",,Total Uso computador en cualquier lugar,"Total IC+-
Usó computador en cualquier lugar","Cve
Usó computador en cualquier lugar","Proporción 
Usó computador en cualquier lugar",,Total Usó Internet en cualquier lugar y desde cualquier dispositivo,"IC+- 
Usó Internet en cualquier lugar y desde cualquier dispositivo","CVe
Usó Internet en cualquier lugar y desde cualquier dispositivo","Proporción
Usó Internet en cualquier lugar y desde cualquier dispositivo",,"Total 
Usó teléfono celular en cualquier lugar","IC+- 
Usó teléfono celular en cualquier lugar","CVe
Usó teléfono celular en cualquier lugar","Proporción
Usó teléfono celular en cualquier lugar",,,"TOTAL
Tiene teléfono celular","IC+-
Tiene teléfono celular","Cve
Tiene teléfono celular","Proporción
Tiene teléfono celular",,,"TOTAL
Tiene teléfono celular inteligente (smartphone)","IC+-
Tiene teléfono celular inteligente (smartphone)","Cve
Tiene teléfono celular inteligente (smartphone)","Proporción
Tiene teléfono celular inteligente (smartphone)",,TOTAL Pnas usan computador o internet,Pnas usan computador o internet IC+- b/,Pnas usan computador o internet Cve c/,proporción usan computador,,Usan procesadores texto TOTAL,Usan procesadores texto IC+-,Usan procesadores texto Cve,Usan procesadores texto Proporción,,Usan mails y adjuntos TOTAL,Usan mails y adjuntos IC+-,Usan mails y adjuntos Cve,Usan mails y adjuntos Proporción,,Instala dispositivos TOTAL,Instala dispositivos IC+-,Instala dispositivos Cve,Instala dispositivos Proporción,,Usa formulación hojas cálculo TOTAL,Usa formulación hojas cálculo IC+-,Usa formulación hojas cálculo Cve,Usa formulación hojas cálculo Proporción,,Crea PPTs TOTAL,Crea PPTs IC+-,Crea PPTs Cve,Crea PPTs Proporción,,Usa lenguaje programación TOTAL,Usa lenguaje programación IC+-,Usa lenguaje programación Cve,Usa lenguaje programación Proporción
,,CABECERA,TOTAL CABECERA,936,7,"0,4%",302,9,"1,6%",,70,12,"8,4%","23,3",,196,13,"3,3%","64,9",,124,23,"9,40%","13,2",,245,27,"5,60%","26,1",,724,19,"1,30%","77,3",,833,13,"0,80%",89,,,638,17,"1,30%","68,2",,,586,19,"1,60%","62,6",,245,27,"5,6%","26,1",,309,24,"4,00%","42,6",,352,27,"3,90%","48,5",,209,22,"5,30%","28,8",,180,20,"5,80%","24,8",,169,21,"6,30%","23,4",,37,10,"13,60%","5,1"
,,,HOMBRE,457,5,"0,6%",,,,,,,,,,,,,,,56,12,"11,30%","12,3",,117,15,"6,70%","25,7",,338,12,"1,90%","73,9",,401,9,"1,10%","87,7",,,300,10,"1,70%","65,7",,,269,11,"2,10%","58,8",,117,15,"6,7%","25,7",,146,15,"5,20%","43,1",,165,16,"4,90%","48,8",,101,13,"6,60%","29,8",,86,13,"7,70%","25,4",,77,12,"8,00%","22,7",,18,6,"18,10%","5,3"
,,,MUJER,479,6,"0,6%",,,,,,,,,,,,,,,68,12,"9,10%","14,1",,127,15,"5,80%","26,5",,386,11,"1,40%","80,597",,433,9,"1,00%","90,2",,,338,10,"1,50%","70,6",,,317,11,"1,80%","66,2",,127,15,"5,8%","26,5",,163,14,"4,30%","42,1",,186,14,"3,90%","48,2",,108,12,"5,70%","27,9",,94,11,"5,80%","24,3",,92,11,"6,20%","23,9",,19,6,"15,00%","4,9"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,422,5,"0,6%",130,5,"1,8%",,5,2,"21,5%","3,7",,52,5,"4,9%","40,3",,20,5,"12,40%","4,8",,51,8,"8,00%",12,,255,12,"2,50%","60,5",,353,7,"1,00%","83,8",,,228,8,"1,70%",54,,,182,9,"2,60%","43,1",,51,8,"8,0%","12,0",,86,13,"7,50%","33,5",,90,11,"6,00%",35,,28,5,"10,10%","10,8",,16,4,"11,90%","6,3",,15,3,"12,00%","5,7",,1,1,"37,20%","0,4"
,,,HOMBRE,220,3,"0,8%",,,,,,,,,,,,,,,9,2,"14,70%","3,9",,25,5,"9,60%","11,2",,120,7,"3,00%","54,4",,179,4,"1,20%","81,3",,,113,5,"2,40%","51,5",,,85,6,"3,60%","38,5",,25,5,"9,6%","11,2",,39,7,"8,90%","32,4",,40,6,"8,20%","33,3",,13,3,"12,10%","10,4",,7,2,"14,50%","6,1",,7,2,"15,50%","5,4",,1,1,"42,70%","0,5"
,,,MUJER,201,3,"0,8%",,,,,,,,,,,,,,,12,3,"12,80%","5,9",,26,5,"9,10%","12,9",,135,7,"2,70%","67,2",,174,5,"1,40%","86,4",,,114,5,"2,20%","56,7",,,97,5,"2,70%","48,2",,26,5,"9,1%","12,9",,47,7,"7,20%","34,6",,50,5,"5,50%","36,5",,15,3,"11,00%","11,1",,9,2,"12,70%","6,4",,8,2,"13,20%","5,9",,0,0,"64,10%","0,2"
,META,TOTAL,TOTAL,1008,7,"0,3%",386,9,"1,1%",,124,14,"5,8%","32,2",,291,11,"1,9%","75,3",,210,25,"6,10%","20,9",,334,30,"4,60%","33,2",,874,15,"0,90%","86,7",,946,11,"0,60%","93,9",,,809,11,"0,70%","80,3",,,746,18,"1,20%",74,,334,30,"4,6%","33,2",,448,25,"2,80%","51,1",,431,23,"2,70%","49,2",,333,24,"3,70%",38,,304,24,"4,10%","34,7",,302,24,"4,10%","34,5",,105,15,"7,10%",12
,,,HOMBRE,504,5,"0,5%",,,,,,,,,,,,,,,105,14,"6,90%","20,8",,161,17,"5,30%",32,,433,10,"1,10%","85,9",,470,7,"0,70%","93,3",,,396,8,"1,00%","78,6",,,362,11,"1,50%","71,9",,161,17,"5,3%","32,0",,219,14,"3,30%","50,4",,209,13,"3,20%","48,2",,165,13,"4,00%",38,,146,13,"4,60%","33,6",,144,13,"4,60%","33,2",,55,9,"7,90%","12,6"
,,,MUJER,504,5,"0,5%",,,,,,,,,,,,,,,106,13,"6,40%",21,,173,16,"4,60%","34,3",,441,9,"1,00%","87,5",,476,7,"0,70%","94,4",,,413,6,"0,80%",82,,,383,10,"1,30%","76,1",,173,16,"4,6%","34,3",,229,13,"2,90%","51,8",,222,13,"2,90%","50,2",,168,14,"4,10%",38,,158,14,"4,40%","35,8",,158,13,"4,20%","35,8",,50,8,"8,40%","11,3"
,,CABECERA,TOTAL CABECERA,769,6,"0,4%",301,9,"1,5%",,113,14,"6,4%","37,5",,232,11,"2,3%","77,2",,182,25,"6,90%","23,6",,293,30,"5,20%","38,1",,688,13,"1,00%","89,4",,731,9,"0,60%",95,,,639,10,"0,80%",83,,,591,17,"1,50%","76,8",,293,30,"5,2%","38,1",,384,24,"3,20%","55,8",,370,22,"3,10%","53,6",,292,24,"4,10%","42,4",,268,24,"4,60%","38,9",,267,24,"4,50%","38,7",,95,15,"7,80%","13,8"
,,,HOMBRE,374,4,"0,6%",,,,,,,,,,,,,,,91,14,"7,80%","24,2",,140,16,"5,90%","37,6",,331,9,"1,30%","88,5",,351,6,"0,90%","93,9",,,302,7,"1,20%","80,8",,,279,10,"1,80%","74,8",,140,16,"5,9%","37,6",,186,14,"3,70%","55,9",,177,12,"3,60%","53,4",,143,13,"4,50%","43,2",,127,13,"5,10%","38,2",,127,13,"5,00%","38,1",,49,8,"8,70%","14,9"
,,,MUJER,396,4,"0,5%",,,,,,,,,,,,,,,91,13,"7,30%","23,1",,153,15,"5,10%","38,6",,357,7,"1,10%","90,157",,380,5,"0,70%","96,1",,,336,5,"0,80%",85,,,311,9,"1,50%","78,7",,153,15,"5,1%","38,6",,199,13,"3,30%","55,6",,192,12,"3,30%","53,8",,149,13,"4,60%","41,7",,141,13,"4,80%","39,6",,140,13,"4,70%","39,2",,46,8,"9,00%","12,9"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,238,2,"0,5%",86,2,"1,4%",,11,2,"10,6%","13,4",,59,4,"3,6%","68,7",,28,5,"9,70%","11,9",,41,7,"8,10%","17,3",,186,8,"2,10%","78,2",,215,6,"1,50%","90,1",,,171,5,"1,50%","71,6",,,155,6,"1,90%",65,,41,7,"8,1%","17,3",,64,7,"5,50%","34,1",,62,7,"6,00%","32,9",,41,6,"7,10%","21,8",,36,5,"6,80%","19,1",,36,5,"7,60%","19,1",,9,2,"11,40%",5
,,,HOMBRE,130,2,"0,7%",,,,,,,,,,,,,,,14,3,"12,20%","10,8",,21,4,"9,50%","16,1",,102,5,"2,30%","78,4",,119,3,"1,40%","91,6",,,94,3,"1,60%","72,3",,,83,4,"2,30%","63,7",,21,4,"9,5%","16,1",,33,4,"6,10%","32,6",,32,4,"7,00%","31,2",,22,4,"8,40%",21,,19,3,"8,30%","18,6",,18,3,"9,70%","17,3",,5,1,"13,20%","5,1"
,,,MUJER,108,2,"0,8%",,,,,,,,,,,,,,,14,3,"9,70%","13,2",,20,4,"8,90%","18,8",,84,4,"2,60%","77,8",,95,4,"1,90%","88,3",,,76,3,"2,10%","70,7",,,72,3,"2,30%","66,5",,20,4,"8,9%","18,8",,30,4,"6,40%","35,8",,30,4,"6,20%",35,,19,3,"7,20%","22,7",,17,2,"7,20%","19,7",,18,3,"7,60%","21,2",,4,1,"14,70%","4,8"
,NARIÑO,TOTAL,TOTAL,1523,10,"0,3%",600,10,"0,9%",,114,13,"5,7%","19,1",,325,14,"2,2%","54,2",,204,25,"6,20%","13,4",,387,26,"3,50%","25,4",,1005,25,"1,30%",66,,1355,18,"0,70%",89,,,1104,18,"0,80%","72,5",,,875,21,"1,20%","57,5",,387,26,"3,5%","25,4",,512,27,"2,70%","50,5",,468,26,"2,80%","46,2",,287,22,"3,90%","28,3",,220,20,"4,70%","21,7",,258,20,"4,00%","25,4",,39,8,"10,10%","3,9"
,,,HOMBRE,738,7,"0,5%",,,,,,,,,,,,,,,105,15,"7,40%","14,2",,195,16,"4,20%","26,4",,493,15,"1,50%","66,8",,655,11,"0,80%","88,7",,,534,11,"1,10%","72,3",,,421,13,"1,60%",57,,195,16,"4,2%","26,4",,251,16,"3,20%","50,5",,228,15,"3,30%",46,,144,13,"4,40%",29,,104,12,"6,00%","20,9",,122,12,"5,10%","24,6",,20,6,"15,10%","4,1"
,,,MUJER,784,6,"0,4%",,,,,,,,,,,,,,,99,12,"6,30%","12,7",,193,14,"3,70%","24,6",,512,15,"1,50%","65,3",,700,11,"0,80%","89,2",,,571,11,"0,90%","72,7",,,455,13,"1,40%","57,9",,193,14,"3,7%","24,6",,261,15,"2,90%","50,5",,240,15,"3,10%","46,4",,143,12,"4,40%","27,7",,116,11,"5,00%","22,5",,136,11,"4,30%","26,3",,19,4,"11,80%","3,7"
,,CABECERA,TOTAL CABECERA,675,6,"0,5%",264,8,"1,5%",,90,12,"6,6%","34,0",,177,10,"3,0%","67,2",,146,22,"7,70%","21,6",,250,22,"4,40%","37,1",,525,15,"1,50%","77,8",,630,8,"0,60%","93,3",,,540,9,"0,90%",80,,,469,13,"1,40%","69,5",,250,22,"4,4%","37,1",,319,20,"3,20%","60,3",,302,20,"3,40%","57,3",,208,19,"4,70%","39,4",,165,19,"5,80%","31,3",,191,18,"4,90%","36,1",,32,7,"11,80%",6
,,,HOMBRE,318,4,"0,6%",,,,,,,,,,,,,,,74,13,"9,00%","23,4",,128,13,"5,20%","40,2",,253,8,"1,70%","79,6",,296,5,"0,90%","93,2",,,247,5,"1,10%","77,6",,,217,8,"1,80%","68,2",,128,13,"5,2%","40,2",,155,12,"3,80%",61,,144,11,"4,10%","56,6",,104,11,"5,40%","40,9",,79,11,"7,30%","31,1",,91,11,"6,00%","35,7",,17,6,"17,40%","6,6"
,,,MUJER,357,4,"0,6%",,,,,,,,,,,,,,,72,11,"7,70%",20,,123,11,"4,70%","34,4",,272,9,"1,60%","76,192",,334,5,"0,80%","93,4",,,293,6,"1,10%",82,,,253,8,"1,60%","70,7",,123,11,"4,7%","34,4",,163,11,"3,40%","59,7",,158,11,"3,50%","57,8",,104,10,"5,00%","38,1",,86,10,"5,80%","31,4",,100,10,"5,00%","36,5",,15,4,"13,90%","5,4"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,848,8,"0,5%",336,8,"1,3%",,25,6,"11,4%","7,3",,148,11,"4,0%","43,9",,58,11,"10,00%","6,9",,137,15,"5,50%","16,2",,480,19,"2,10%","56,6",,725,16,"1,10%","85,5",,,565,15,"1,40%","66,6",,,406,17,"2,10%","47,9",,137,15,"5,5%","16,2",,193,18,"4,70%","39,9",,166,18,"5,70%","34,2",,79,11,"7,10%","16,3",,55,8,"7,80%","11,4",,67,10,"7,60%","13,8",,8,3,"18,40%","1,6"
,,,HOMBRE,420,6,"0,8%",,,,,,,,,,,,,,,30,8,"12,70%","7,2",,67,9,"7,10%","15,9",,240,12,"2,50%","57,1",,359,9,"1,30%","85,3",,,287,10,"1,80%","68,3",,,204,10,"2,60%","48,5",,67,9,"7,1%","15,9",,96,10,"5,40%","39,5",,84,11,"6,40%","34,8",,40,6,"7,90%","16,5",,25,5,"9,90%","10,3",,31,6,"10,40%","12,8",,3,2,"24,20%","1,4"
,,,MUJER,427,5,"0,6%",,,,,,,,,,,,,,,28,6,"10,70%","6,5",,70,8,"6,10%","16,4",,240,12,"2,60%","56,1",,366,10,"1,40%","85,8",,,278,9,"1,60%",65,,,202,10,"2,40%","47,3",,70,8,"6,1%","16,4",,98,10,"5,30%","40,2",,82,10,"6,40%","33,6",,39,7,"9,30%","16,1",,30,6,"10,50%","12,5",,36,6,"8,90%","14,7",,4,2,"23,00%","1,8"
,NORTE DE SANTANDER,TOTAL,TOTAL,1535,11,"0,4%",514,14,"1,3%",,129,18,"7,1%","25,1",,283,20,"3,6%","55,1",,198,32,"8,30%","12,9",,381,39,"5,20%","24,8",,1142,36,"1,60%","74,4",,1367,23,"0,90%","89,1",,,1138,20,"0,90%","74,2",,,1034,25,"1,20%","67,4",,381,39,"5,2%","24,8",,537,40,"3,80%","46,9",,551,42,"3,90%","48,1",,435,46,"5,40%","37,9",,303,33,"5,50%","26,5",,334,39,"5,90%","29,1",,68,14,"10,60%","5,9"
,,,HOMBRE,756,8,"0,5%",,,,,,,,,,,,,,,90,17,"9,40%","11,9",,179,22,"6,10%","23,7",,542,22,"2,10%","71,7",,665,15,"1,20%","87,9",,,546,14,"1,30%","72,2",,,485,17,"1,70%","64,1",,179,22,"6,1%","23,7",,251,22,"4,40%",46,,264,24,"4,70%","48,4",,214,26,"6,20%","39,3",,145,18,"6,40%","26,5",,159,21,"6,90%","29,2",,38,9,"12,30%","7,1"
,,,MUJER,778,7,"0,5%",,,,,,,,,,,,,,,108,19,"8,80%","13,9",,202,21,"5,30%","25,9",,599,19,"1,60%",77,,702,12,"0,90%","90,2",,,592,11,"1,00%","76,1",,,549,13,"1,20%","70,5",,202,21,"5,3%","25,9",,286,21,"3,80%","47,6",,287,21,"3,80%","47,8",,220,23,"5,40%","36,7",,159,18,"5,80%","26,4",,175,20,"5,90%","29,1",,29,7,"11,90%","4,9"
,,CABECERA,TOTAL CABECERA,1228,10,"0,4%",416,14,"1,7%",,127,18,"7,2%","30,5",,240,20,"4,2%","57,8",,182,32,"9,00%","14,8",,351,39,"5,60%","28,6",,966,34,"1,80%","78,7",,1107,21,"1,00%","90,2",,,954,19,"1,00%","77,7",,,886,24,"1,40%","72,1",,351,39,"5,6%","28,6",,474,39,"4,20%","48,9",,521,42,"4,10%","53,8",,415,46,"5,70%","42,8",,290,33,"5,70%",30,,321,38,"6,10%","33,1",,66,14,"10,90%","6,8"
,,,HOMBRE,593,7,"0,6%",,,,,,,,,,,,,,,83,16,"10,20%","13,9",,165,21,"6,60%","27,8",,454,20,"2,30%","76,5",,526,14,"1,30%","88,7",,,449,13,"1,50%","75,6",,,412,16,"2,00%","69,5",,165,21,"6,6%","27,8",,221,21,"4,90%","48,5",,250,24,"4,90%","54,8",,205,26,"6,50%","44,9",,139,18,"6,60%","30,5",,154,21,"7,10%","33,7",,37,9,"12,60%","8,2"
,,,MUJER,635,7,"0,6%",,,,,,,,,,,,,,,99,19,"9,50%","15,7",,186,21,"5,70%","29,3",,512,17,"1,70%","80,671",,582,11,"1,00%","91,5",,,506,10,"1,00%","79,6",,,474,12,"1,30%","74,6",,186,21,"5,7%","29,3",,252,21,"4,20%","49,2",,271,21,"4,00%","52,8",,210,23,"5,60%","40,9",,151,18,"6,10%","29,4",,167,20,"6,20%","32,6",,28,7,"12,30%","5,5"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,306,3,"0,6%",98,3,"1,4%",,3,1,"19,7%","2,6",,43,4,"4,9%","43,6",,16,3,"10,70%","5,3",,30,5,"8,60%",10,,175,13,"3,90%","57,2",,259,10,"2,00%","84,6",,,184,8,"2,20%","60,1",,,148,9,"2,90%","48,4",,30,5,"8,6%","10,0",,63,8,"6,40%","35,8",,30,7,"11,50%","17,1",,20,5,"11,60%","11,3",,13,3,"13,70%","7,3",,13,3,"13,00%","7,3",,2,1,"26,40%","1,2"
,,,HOMBRE,163,2,"0,8%",,,,,,,,,,,,,,,7,2,"15,70%","4,6",,14,4,"13,10%","8,8",,88,8,"4,50%","54,1",,139,6,"2,30%","85,1",,,98,5,"2,60%","59,9",,,73,5,"3,60%","44,8",,14,4,"13,1%","8,8",,30,4,"7,50%","33,2",,14,4,"14,50%","15,6",,10,3,"14,90%","10,9",,5,2,"16,50%","5,9",,5,2,"17,70%","6,1",,1,1,"35,60%","1,3"
,,,MUJER,143,3,"1,0%",,,,,,,,,,,,,,,9,2,"11,60%","6,2",,16,3,"8,30%","11,3",,87,7,"4,10%","60,7",,120,5,"2,30%","84,1",,,86,5,"2,70%","60,3",,,75,5,"3,30%","52,4",,16,3,"8,3%","11,3",,34,5,"7,20%","38,5",,16,4,"11,80%","18,5",,10,3,"12,40%","11,7",,8,2,"15,10%","8,8",,7,2,"12,90%","8,5",,1,1,"28,40%",1
,PUTUMAYO,TOTAL,TOTAL,342,3,"0,4%",156,2,"0,8%",,24,3,"5,8%","15,5",,79,4,"2,7%","50,6",,59,5,"4,30%","17,1",,88,5,"3,20%","25,8",,203,7,"1,70%","59,4",,288,4,"0,80%","84,2",,,239,5,"1,00%","69,9",,,187,6,"1,60%","54,7",,88,5,"3,2%","25,8",,85,6,"3,50%","41,6",,79,6,"3,60%","38,7",,51,5,"4,50%",25,,46,5,"5,20%","22,6",,54,5,"4,50%","26,5",,5,2,"15,40%","2,5"
,,,HOMBRE,172,2,"0,5%",,,,,,,,,,,,,,,30,3,"5,40%","17,6",,45,3,"4,00%",26,,101,4,"1,90%","59,1",,144,3,"0,90%",84,,,119,3,"1,20%","69,4",,,92,3,"1,80%","53,5",,45,3,"4,0%","26,0",,44,4,"4,20%","42,5",,40,3,"4,30%","39,3",,26,3,"5,50%","25,7",,24,3,"6,10%","23,3",,27,3,"5,60%",26,,3,1,"18,90%","2,6"
,,,MUJER,170,2,"0,6%",,,,,,,,,,,,,,,28,3,"4,90%","16,6",,44,3,"3,80%","25,6",,102,4,"2,00%","59,7",,144,3,"1,00%","84,4",,,120,3,"1,20%","70,5",,,95,3,"1,70%","55,9",,44,3,"3,8%","25,6",,41,3,"4,20%","40,6",,39,3,"4,20%",38,,25,3,"5,20%","24,2",,23,3,"5,80%",22,,28,3,"5,10%",27,,3,1,"16,50%","2,5"
,,CABECERA,TOTAL CABECERA,180,2,"0,6%",83,3,"1,7%",,21,3,"6,2%","25,5",,50,3,"3,0%","59,6",,42,4,"5,00%","23,4",,63,5,"3,70%","34,7",,129,4,"1,60%","71,6",,162,3,"0,80%","89,6",,,140,2,"0,90%","77,5",,,118,4,"1,60%","65,4",,63,5,"3,7%","34,7",,57,5,"4,30%","43,9",,55,5,"4,50%",42,,37,4,"5,20%","28,6",,34,4,"6,40%","26,3",,39,4,"5,80%","29,8",,5,2,"16,90%","3,5"
,,,HOMBRE,86,1,"0,7%",,,,,,,,,,,,,,,21,3,"6,50%","24,6",,31,3,"4,80%","35,9",,61,3,"2,10%","71,1",,77,2,"1,10%","88,9",,,65,2,"1,30%","75,7",,,55,2,"2,00%","64,3",,31,3,"4,8%","35,9",,29,3,"5,20%","46,4",,27,3,"5,50%",44,,19,2,"6,60%","29,9",,18,3,"7,50%",29,,19,3,"7,20%","30,2",,2,1,"20,60%","3,7"
,,,MUJER,94,1,"0,7%",,,,,,,,,,,,,,,21,2,"5,50%","22,4",,32,3,"4,30%","33,5",,68,2,"1,80%","72,12",,85,2,"1,00%","90,3",,,75,2,"1,10%","79,2",,,63,2,"1,70%","66,5",,32,3,"4,3%","33,5",,28,3,"5,10%","41,6",,27,3,"5,10%","40,2",,19,2,"6,00%","27,4",,16,2,"6,90%","23,9",,20,2,"6,20%","29,4",,2,1,"17,80%","3,3"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,162,2,"0,5%",73,2,"1,5%",,3,1,"18,5%","4,0",,29,3,"5,4%","40,3",,16,3,"8,40%","10,1",,26,3,"6,40%","15,9",,74,6,"3,80%","45,7",,126,4,"1,50%","78,3",,,99,4,"2,10%","61,4",,,69,5,"3,30%","42,8",,26,3,"6,4%","15,9",,28,4,"6,90%","37,4",,24,3,"7,30%","32,7",,14,3,"9,40%","18,6",,12,3,"10,70%","16,1",,15,3,"9,00%","20,7",,1,0,"28,50%","0,8"
,,,HOMBRE,85,1,"0,7%",,,,,,,,,,,,,,,9,2,"9,80%","10,7",,14,2,"7,20%",16,,40,3,"3,70%","46,9",,68,2,"1,70%","79,2",,,54,2,"2,30%","62,9",,,36,3,"3,60%","42,7",,14,2,"7,2%","16,0",,15,2,"7,70%","36,6",,13,2,"8,40%",32,,8,2,"10,60%","19,2",,6,1,"12,70%","14,6",,8,2,"10,60%","19,5",,0,0,"43,40%","0,8"
,,,MUJER,76,1,"0,9%",,,,,,,,,,,,,,,7,1,"10,20%","9,4",,12,2,"7,80%","15,7",,34,3,"4,80%","44,4",,59,2,"2,10%","77,2",,,45,2,"2,80%","59,7",,,33,3,"4,00%","42,9",,12,2,"7,8%","15,7",,13,2,"8,20%","38,4",,11,2,"8,70%","33,7",,6,1,"11,20%","17,8",,6,1,"12,20%",18,,7,2,"10,50%","22,1",,0,0,"40,00%","0,8"
,QUINDÍO,TOTAL,TOTAL,552,3,"0,3%",209,6,"1,4%",,78,7,"4,9%","37,2",,149,8,"2,7%","71,0",,127,15,"5,90%",23,,184,17,"4,60%","33,3",,445,13,"1,50%","80,6",,514,6,"0,60%","93,1",,,465,6,"0,70%","84,3",,,423,11,"1,30%","76,7",,184,17,"4,6%","33,3",,213,16,"3,90%","47,8",,196,16,"4,20%",44,,133,15,"5,70%","29,8",,124,14,"5,70%","27,9",,123,15,"6,10%","27,6",,30,7,"12,60%","6,6"
,,,HOMBRE,264,2,"0,4%",,,,,,,,,,,,,,,61,8,"6,50%","23,1",,89,9,"5,10%","33,7",,211,7,"1,60%",80,,245,4,"0,80%","92,7",,,221,4,"0,90%","83,6",,,199,6,"1,50%","75,2",,89,9,"5,1%","33,7",,101,8,"4,30%","47,8",,96,8,"4,50%","45,3",,65,8,"5,90%","30,9",,61,7,"6,10%",29,,58,7,"6,40%","27,4",,17,4,"12,80%","7,8"
,,,MUJER,288,3,"0,5%",,,,,,,,,,,,,,,66,8,"6,20%","22,9",,95,9,"5,10%",33,,234,8,"1,80%","81,2",,269,4,"0,80%","93,5",,,244,4,"0,90%","84,9",,,225,6,"1,50%","78,1",,95,9,"5,1%","33,0",,112,9,"4,20%","47,8",,100,9,"4,60%","42,8",,67,8,"6,40%","28,7",,63,8,"6,40%",27,,65,8,"6,60%","27,8",,13,4,"15,90%","5,6"
,,CABECERA,TOTAL CABECERA,487,3,"0,3%",184,6,"1,6%",,72,7,"5,3%","39,1",,134,8,"3,0%","73,0",,115,15,"6,40%","23,7",,167,17,"5,10%","34,2",,397,13,"1,60%","81,5",,455,6,"0,70%","93,4",,,413,6,"0,80%","84,7",,,376,11,"1,50%","77,2",,167,17,"5,1%","34,2",,192,16,"4,30%","48,3",,175,16,"4,60%","44,1",,118,15,"6,40%","29,7",,113,14,"6,30%","28,3",,110,15,"6,80%","27,6",,27,7,"13,80%","6,7"
,,,HOMBRE,229,2,"0,5%",,,,,,,,,,,,,,,55,8,"7,10%",24,,80,9,"5,60%",35,,186,7,"1,80%","81,3",,214,4,"0,80%","93,1",,,193,4,"1,00%","84,1",,,174,6,"1,70%","75,9",,80,9,"5,6%","35,0",,91,8,"4,80%","48,6",,86,8,"5,00%","45,8",,58,8,"6,60%","31,1",,55,7,"6,80%","29,6",,52,7,"7,20%","27,7",,15,4,"13,90%",8
,,,MUJER,258,3,"0,5%",,,,,,,,,,,,,,,60,8,"6,80%","23,4",,87,9,"5,50%","33,5",,211,8,"2,00%","81,719",,242,4,"0,80%","93,7",,,220,4,"1,00%","85,2",,,202,6,"1,60%","78,3",,87,9,"5,5%","33,5",,101,9,"4,70%","47,9",,90,9,"5,10%","42,5",,60,8,"7,10%","28,5",,57,8,"7,00%","27,1",,58,8,"7,30%","27,6",,12,4,"17,40%","5,6"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,64,1,"0,5%",25,1,"1,6%",,6,1,"8,3%","22,8",,14,1,"3,7%","56,5",,12,2,"8,00%","18,1",,17,2,"6,30%","26,3",,47,2,"1,80%","73,6",,59,1,"0,90%","91,1",,,52,1,"0,90%","81,3",,,47,2,"1,80%","73,1",,17,2,"6,3%","26,3",,21,2,"5,10%","44,1",,21,2,"5,40%","43,2",,14,2,"7,40%","30,2",,12,2,"8,10%",25,,13,2,"7,90%",27,,3,1,"16,70%","5,8"
,,,HOMBRE,35,0,"0,7%",,,,,,,,,,,,,,,6,1,"8,90%","17,2",,9,1,"6,80%","24,9",,25,1,"2,00%","71,1",,31,1,"1,20%","90,1",,,28,1,"1,20%","80,2",,,25,1,"1,90%","70,5",,9,1,"6,8%","24,9",,10,1,"6,20%","41,9",,10,1,"6,20%","41,5",,7,1,"7,90%","29,6",,6,1,"9,10%","24,1",,6,1,"9,00%","25,1",,2,1,"17,10%","6,1"
,,,MUJER,30,0,"0,8%",,,,,,,,,,,,,,,6,1,"9,10%","19,1",,8,1,"7,20%","28,1",,23,1,"2,00%","76,6",,27,1,"1,00%","92,3",,,24,1,"1,20%","82,6",,,22,1,"2,10%","76,2",,8,1,"7,2%","28,1",,11,1,"5,20%","46,5",,10,1,"5,80%","45,1",,7,1,"8,30%","30,9",,6,1,"8,80%",26,,7,1,"8,60%",29,,1,1,"20,90%","5,4"
,RISARALDA,TOTAL,TOTAL,937,7,"0,4%",349,9,"1,4%",,133,15,"5,8%","38,2",,232,14,"3,0%","66,4",,193,27,"7,00%","20,5",,316,33,"5,30%","33,8",,736,20,"1,40%","78,5",,844,14,"0,90%","90,1",,,780,14,"0,90%","83,2",,,664,27,"2,10%","70,9",,316,33,"5,3%","33,8",,364,27,"3,70%","49,3",,407,27,"3,40%","55,1",,315,25,"4,00%","42,6",,298,25,"4,30%","40,3",,294,26,"4,50%","39,8",,95,19,"10,40%","12,9"
